"id(h)","type(r)","id(t)"
"697","COURSE_FRAME_ADVANCE","1032"
"705","COURSE_FRAME_ADVANCE","1032"
"698","COURSE_FRAME_ADVANCE","1032"
"661","COURSE_FRAME_ADVANCE","1032"
"659","COURSE_FRAME_ADVANCE","1032"
"707","COURSE_FRAME_ADVANCE","1032"
"706","COURSE_FRAME_ADVANCE","1032"
"702","COURSE_FRAME_ADVANCE","1032"
"592","COURSE_FRAME_ADVANCE","1032"
"704","COURSE_FRAME_ADVANCE","1032"
"699","COURSE_FRAME_ADVANCE","1032"
"1014","CAREER_FRAME_ADVANCE","1032"
"1000","CAREER_FRAME_ADVANCE","1032"
"988","CAREER_FRAME_ADVANCE","1032"
"845","COURSE_FRAME_BASIC","1033"
"131","COURSE_FRAME_BASIC","1033"
"135","COURSE_FRAME_BASIC","1033"
"804","COURSE_FRAME_BASIC","1033"
"233","COURSE_FRAME_ADVANCE","1033"
"669","COURSE_FRAME_ADVANCE","1033"
"230","COURSE_FRAME_ADVANCE","1033"
"668","COURSE_FRAME_ADVANCE","1033"
"1019","CAREER_FRAME_ADVANCE","1033"
"721","COURSE_FRAME_BASIC","1034"
"802","COURSE_FRAME_BASIC","1034"
"768","COURSE_FRAME_BASIC","1034"
"765","COURSE_FRAME_BASIC","1034"
"769","COURSE_FRAME_BASIC","1034"
"767","COURSE_FRAME_BASIC","1034"
"846","COURSE_FRAME_BASIC","1034"
"671","COURSE_FRAME_BASIC","1034"
"766","COURSE_FRAME_BASIC","1034"
"621","COURSE_FRAME_ADVANCE","1034"
"682","COURSE_FRAME_ADVANCE","1034"
"676","COURSE_FRAME_ADVANCE","1034"
"678","COURSE_FRAME_ADVANCE","1034"
"679","COURSE_FRAME_ADVANCE","1034"
"609","COURSE_FRAME_ADVANCE","1034"
"675","COURSE_FRAME_ADVANCE","1034"
"673","COURSE_FRAME_ADVANCE","1034"
"674","COURSE_FRAME_ADVANCE","1034"
"778","COURSE_FRAME_ADVANCE","1034"
"607","COURSE_FRAME_ADVANCE","1034"
"672","COURSE_FRAME_ADVANCE","1034"
"677","COURSE_FRAME_ADVANCE","1034"
"680","COURSE_FRAME_ADVANCE","1034"
"766","COURSE_FRAME_ADVANCE","1034"
"1018","CAREER_FRAME_ADVANCE","1034"
"1014","CAREER_FRAME_ADVANCE","1034"
"1021","CAREER_FRAME_ADVANCE","1034"
"619","COURSE_FRAME_BASIC","1035"
"687","COURSE_FRAME_BASIC","1035"
"693","COURSE_FRAME_BASIC","1035"
"692","COURSE_FRAME_BASIC","1035"
"686","COURSE_FRAME_BASIC","1035"
"695","COURSE_FRAME_BASIC","1035"
"689","COURSE_FRAME_BASIC","1035"
"606","COURSE_FRAME_ADVANCE","1035"
"688","COURSE_FRAME_ADVANCE","1035"
"703","COURSE_FRAME_ADVANCE","1036"
"847","COURSE_FRAME_BASIC","1037"
"845","COURSE_FRAME_BASIC","1037"
"843","COURSE_FRAME_BASIC","1037"
"844","COURSE_FRAME_ADVANCE","1037"
"715","COURSE_FRAME_ADVANCE","1037"
"846","COURSE_FRAME_ADVANCE","1037"
"727","COURSE_FRAME_BASIC","1038"
"729","COURSE_FRAME_BASIC","1038"
"730","COURSE_FRAME_ADVANCE","1038"
"735","COURSE_FRAME_BASIC","1039"
"734","COURSE_FRAME_BASIC","1039"
"739","COURSE_FRAME_ADVANCE","1039"
"743","COURSE_FRAME_ADVANCE","1039"
"740","COURSE_FRAME_ADVANCE","1039"
"243","COURSE_FRAME_BASIC","1040"
"734","COURSE_FRAME_BASIC","1040"
"744","COURSE_FRAME_BASIC","1040"
"743","COURSE_FRAME_BASIC","1040"
"738","COURSE_FRAME_BASIC","1040"
"739","COURSE_FRAME_ADVANCE","1040"
"738","COURSE_FRAME_ADVANCE","1040"
"741","COURSE_FRAME_ADVANCE","1040"
"756","COURSE_FRAME_BASIC","1041"
"758","COURSE_FRAME_BASIC","1041"
"754","COURSE_FRAME_BASIC","1041"
"755","COURSE_FRAME_BASIC","1041"
"757","COURSE_FRAME_BASIC","1041"
"747","COURSE_FRAME_BASIC","1041"
"750","COURSE_FRAME_ADVANCE","1041"
"749","COURSE_FRAME_ADVANCE","1041"
"752","COURSE_FRAME_ADVANCE","1041"
"751","COURSE_FRAME_ADVANCE","1041"
"753","COURSE_FRAME_ADVANCE","1041"
"759","COURSE_FRAME_ADVANCE","1041"
"760","COURSE_FRAME_ADVANCE","1041"
"748","COURSE_FRAME_ADVANCE","1041"
"1012","CAREER_FRAME_ADVANCE","1041"
"1017","CAREER_FRAME_ADVANCE","1041"
