,0,1,2
0,1043,FRAME_RELATED,596
1,1031,FRAME_RELATED,679
2,1018,FRAME_RELATED,603
3,1032,FRAME_RELATED,619
4,1032,FRAME_RELATED,636
5,1040,FRAME_RELATED,604
6,1040,FRAME_RELATED,615
7,275,FRAME,608
8,187,FRAME,633
9,1364,FRAME,644
10,1036,FRAME_RELATED,606
11,1036,FRAME_RELATED,609
12,1023,FRAME_RELATED,611
13,1023,FRAME_RELATED,686
14,310,FRAME,638
15,1210,FRAME_RELATED,626
16,592,FRAME,650
17,1092,FRAME_RELATED,690
18,1209,FRAME_RELATED,648
19,1624,FRAME,647
20,1624,FRAME,648
21,1015,FRAME_RELATED,680
22,1015,FRAME_RELATED,681
23,1033,FRAME_RELATED,682
24,1033,FRAME_RELATED,683
25,1193,FRAME_RELATED,687
26,1193,FRAME_RELATED,688
27,584,LANG,727
28,585,LANG,728
29,590,LANG,729
30,906,LANG_RELATED,718
31,906,LANG_RELATED,722
32,906,LANG_RELATED,724
33,1622,LANG,721
34,844,LANG_RELATED,710
35,844,LANG_RELATED,711
36,1145,LANG_RELATED,700
37,1052,LANG_RELATED,735
38,1052,LANG_RELATED,736
39,296,LANG,709
40,1211,LANG_RELATED,737
41,1028,LANG_RELATED,1113
42,1157,LANG_RELATED,734
43,182,TOOL,738
44,1113,TOOL_RELATED,787
45,1113,TOOL_RELATED,973
46,1113,TOOL_RELATED,974
47,1203,TOOL_RELATED,777
48,1203,TOOL_RELATED,848
49,1203,TOOL_RELATED,969
50,595,TOOL,937
51,568,TOOL,891
52,1463,TOOL,843
53,574,TOOL,898
54,574,TOOL,899
55,574,TOOL,924
56,561,TOOL,919
57,589,TOOL,933
58,589,TOOL,934
59,589,TOOL,935
60,569,TOOL,892
61,569,TOOL,893
62,571,TOOL,920
63,571,TOOL,921
64,571,TOOL,922
65,571,TOOL,923
66,586,TOOL,926
67,579,TOOL,903
68,579,TOOL,925
69,579,TOOL,1113
70,1328,TOOL,780
71,1506,TOOL,848
72,1127,TOOL_RELATED,747
73,1127,TOOL_RELATED,944
74,1209,TOOL_RELATED,748
75,1202,TOOL_RELATED,773
76,1636,TOOL,859
77,400,TOOL,832
78,1602,TOOL,856
79,592,TOOL,936
80,36,TOOL,816
81,563,TOOL,873
82,563,TOOL,874
83,563,TOOL,875
84,563,TOOL,876
85,563,TOOL,877
86,563,TOOL,878
87,563,TOOL,879
88,563,TOOL,880
89,563,TOOL,881
90,563,TOOL,882
91,563,TOOL,883
92,563,TOOL,884
93,587,TOOL,905
94,587,TOOL,927
95,587,TOOL,928
96,587,TOOL,929
97,587,TOOL,930
98,587,TOOL,931
99,587,TOOL,932
100,73,TOOL,870
101,588,TOOL,906
102,588,TOOL,908
103,1207,TOOL_RELATED,971
104,1022,TOOL_RELATED,998
105,1055,TOOL_RELATED,760
106,593,TOOL,916
107,594,TOOL,918
108,1035,TOOL_RELATED,759
109,1035,TOOL_RELATED,996
110,1035,TOOL_RELATED,997
111,34,TOOL,864
112,590,TOOL,909
113,590,TOOL,910
114,590,TOOL,911
115,1585,TOOL,851
116,367,TOOL,831
117,1575,TOOL,850
118,1499,TOOL,846
119,1499,TOOL,847
120,1324,TOOL,778
121,1324,TOOL,779
122,1601,TOOL,854
123,1601,TOOL,855
124,49,TOOL,806
125,1404,TOOL,783
126,1404,TOOL,840
127,1024,TOOL_RELATED,784
128,1024,TOOL_RELATED,950
129,1581,TOOL,792
130,1627,TOOL,796
131,1627,TOOL,858
132,575,TOOL,901
133,575,TOOL,902
134,2,TOOL,799
135,2,TOOL,800
136,1217,TOOL_RELATED,817
137,1217,TOOL_RELATED,952
138,284,TOOL,822
139,299,TOOL,825
140,299,TOOL,826
141,361,TOOL,829
142,1358,TOOL,838
143,72,TOOL,867
144,72,TOOL,868
145,570,TOOL,896
146,570,TOOL,897
147,1026,TOOL_RELATED,928
148,1026,TOOL_RELATED,976
149,1026,TOOL_RELATED,977
150,1118,TOOL_RELATED,940
151,1118,TOOL_RELATED,941
152,1184,TOOL_RELATED,942
153,1184,TOOL_RELATED,943
154,1130,TOOL_RELATED,945
155,1130,TOOL_RELATED,946
156,1025,TOOL_RELATED,947
157,1072,TOOL_RELATED,970
158,1153,TOOL_RELATED,990
159,1153,TOOL_RELATED,991
160,1153,TOOL_RELATED,992
161,1153,TOOL_RELATED,993
162,1153,TOOL_RELATED,994
163,1153,TOOL_RELATED,995
164,1073,TOOL_RELATED,954
165,1073,TOOL_RELATED,955
166,1095,TOOL_RELATED,957
167,1095,TOOL_RELATED,958
168,1103,TOOL_RELATED,959
169,1103,TOOL_RELATED,960
170,1108,TOOL_RELATED,961
171,1108,TOOL_RELATED,962
172,1125,TOOL_RELATED,963
173,1125,TOOL_RELATED,964
174,1125,TOOL_RELATED,965
175,1085,TOOL_RELATED,966
176,1085,TOOL_RELATED,967
177,1085,TOOL_RELATED,968
178,1049,TOOL_RELATED,978
179,1049,TOOL_RELATED,979
180,1070,TOOL_RELATED,980
181,1070,TOOL_RELATED,981
182,1070,TOOL_RELATED,982
183,1070,TOOL_RELATED,983
184,1155,TOOL_RELATED,984
185,1155,TOOL_RELATED,985
186,1155,TOOL_RELATED,986
187,571,TECH,987
188,571,TECH,1141
189,571,TECH,1142
190,571,TECH,1143
191,571,TECH,1144
192,571,TECH,1145
193,571,TECH,1146
194,584,TECH,1192
195,584,TECH,1193
196,562,TECH,1094
197,563,TECH,1098
198,563,TECH,1100
199,563,TECH,1102
200,563,TECH,1103
201,563,TECH,1104
202,563,TECH,1106
203,563,TECH,1107
204,563,TECH,1108
205,563,TECH,1109
206,563,TECH,1110
207,566,TECH,1114
208,566,TECH,1115
209,1398,TECH,1047
210,561,TECH,1093
211,585,TECH,1194
212,585,TECH,1196
213,1622,TECH,1078
214,586,TECH,1197
215,595,TECH,1208
216,1621,TECH,1077
217,1365,TECH,1041
218,560,TECH,1091
219,560,TECH,1092
220,235,TECH,1020
221,235,TECH,1021
222,593,TECH,1206
223,593,TECH,1207
224,592,TECH,1203
225,592,TECH,1204
226,592,TECH,1205
227,580,TECH,1177
228,580,TECH,1178
229,580,TECH,1179
230,580,TECH,1180
231,580,TECH,1181
232,580,TECH,1183
233,580,TECH,1184
234,580,TECH,1185
235,580,TECH,1186
