,0,1,2
0,1043,FRAME_RELATED,684
1,561,FRAME,596
2,561,FRAME,625
3,561,FRAME,626
4,585,FRAME,596
5,585,FRAME,618
6,585,FRAME,625
7,585,FRAME,626
8,595,FRAME,596
9,595,FRAME,618
10,595,FRAME,625
11,595,FRAME,626
12,595,FRAME,649
13,1452,FRAME,596
14,1452,FRAME,597
15,392,FRAME,596
16,392,FRAME,615
17,393,FRAME,596
18,393,FRAME,615
19,402,FRAME,596
20,402,FRAME,615
21,400,FRAME,596
22,400,FRAME,597
23,400,FRAME,615
24,396,FRAME,596
25,396,FRAME,615
26,341,FRAME,597
27,341,FRAME,606
28,1372,FRAME,597
29,1372,FRAME,618
30,1233,FRAME,597
31,1233,FRAME,618
32,340,FRAME,597
33,340,FRAME,606
34,193,FRAME,597
35,193,FRAME,606
36,186,FRAME,597
37,186,FRAME,604
38,377,FRAME,597
39,377,FRAME,634
40,350,FRAME,597
41,350,FRAME,606
42,14,FRAME,597
43,14,FRAME,625
44,250,FRAME,597
45,250,FRAME,606
46,180,FRAME,597
47,180,FRAME,618
48,339,FRAME,597
49,339,FRAME,606
50,338,FRAME,597
51,338,FRAME,606
52,181,FRAME,597
53,181,FRAME,606
54,337,FRAME,597
55,337,FRAME,606
56,1377,FRAME,597
57,1377,FRAME,624
58,207,FRAME,598
59,207,FRAME,602
60,201,FRAME,598
61,201,FRAME,602
62,208,FRAME,598
63,208,FRAME,600
64,563,FRAME,599
65,563,FRAME,601
66,1341,FRAME,599
67,1341,FRAME,602
68,1341,FRAME,603
69,565,FRAME,599
70,565,FRAME,601
71,565,FRAME,602
72,565,FRAME,620
73,565,FRAME,621
74,565,FRAME,643
75,1031,FRAME_RELATED,602
76,1018,FRAME_RELATED,602
77,1032,FRAME_RELATED,602
78,214,FRAME,602
79,214,FRAME,603
80,1248,FRAME,602
81,1248,FRAME,603
82,1248,FRAME,619
83,1248,FRAME,620
84,1247,FRAME,602
85,1247,FRAME,619
86,1249,FRAME,603
87,1249,FRAME,621
88,572,FRAME,604
89,572,FRAME,624
90,572,FRAME,637
91,572,FRAME,649
92,278,FRAME,604
93,278,FRAME,625
94,407,FRAME,604
95,407,FRAME,615
96,586,FRAME,604
97,586,FRAME,606
98,586,FRAME,626
99,586,FRAME,645
100,586,FRAME,649
101,275,FRAME,604
102,275,FRAME,642
103,560,FRAME,604
104,560,FRAME,625
105,560,FRAME,626
106,187,FRAME,604
107,187,FRAME,618
108,1364,FRAME,604
109,1364,FRAME,615
110,1364,FRAME,618
111,164,FRAME,604
112,164,FRAME,625
113,591,FRAME,605
114,591,FRAME,649
115,1351,FRAME,605
116,1351,FRAME,623
117,417,FRAME,605
118,417,FRAME,609
119,590,FRAME,606
120,590,FRAME,626
121,418,FRAME,606
122,418,FRAME,609
123,264,FRAME,607
124,264,FRAME,618
125,178,FRAME,607
126,178,FRAME,632
127,415,FRAME,609
128,415,FRAME,642
129,311,FRAME,611
130,311,FRAME,612
131,306,FRAME,611
132,306,FRAME,612
133,315,FRAME,611
134,315,FRAME,612
135,310,FRAME,612
136,584,FRAME,613
137,584,FRAME,625
138,584,FRAME,626
139,577,FRAME,613
140,577,FRAME,632
141,577,FRAME,637
142,577,FRAME,649
143,589,FRAME,613
144,589,FRAME,625
