,0,1,2
0,1471,TECH_RELATED_FRAME,1024
1,1023,CAREER_FRAME_BASIC,1024
2,1023,CAREER_FRAME_BASIC,1046
3,1013,CAREER_FRAME_ADVANCE,1046
4,157,COURSE_FRAME_ADVANCE,1052
5,121,COURSE_FRAME_BASIC,1027
6,993,CAREER_FRAME_ADVANCE,1030
7,993,CAREER_FRAME_ADVANCE,1048
8,993,CAREER_FRAME_ADVANCE,1049
9,993,CAREER_FRAME_ADVANCE,1071
10,1460,TECH_RELATED_FRAME,1047
11,1460,TECH_RELATED_FRAME,1064
12,1459,TECH_RELATED_FRAME,1107
13,1446,TECH_RELATED_FRAME,1031
14,28,COURSE_FRAME_ADVANCE,1048
15,29,COURSE_FRAME_ADVANCE,1049
16,1468,TECH_RELATED_FRAME,1032
17,1468,TECH_RELATED_FRAME,1043
18,144,COURSE_FRAME_BASIC,1072
19,615,COURSE_FRAME_BASIC,1061
20,1014,CAREER_FRAME_ADVANCE,1073
21,1000,CAREER_FRAME_ADVANCE,1052
22,1464,TECH_RELATED_FRAME,1034
23,1464,TECH_RELATED_FRAME,1037
24,1451,TECH_RELATED_FRAME,1039
25,1451,TECH_RELATED_FRAME,1114
26,738,COURSE_FRAME_BASIC,1066
27,94,COURSE_FRAME_BASIC,1049
28,1638,TECH_RELATED_FRAME,1054
29,1020,CAREER_FRAME_ADVANCE,1059
30,1020,CAREER_FRAME_ADVANCE,1078
31,1520,TECH_RELATED_FRAME,1118
32,1637,TECH_RELATED_FRAME,1076
33,404,COURSE_FRAME_BASIC,1075
34,404,COURSE_FRAME_BASIC,1076
35,1443,TECH_RELATED_FRAME,1108
36,1443,TECH_RELATED_FRAME,1109
37,1461,TECH_RELATED_FRAME,1110
38,1461,TECH_RELATED_FRAME,1111
39,1621,TECH_RELATED_FRAME,1115
40,1621,TECH_RELATED_FRAME,1116
41,1334,TOOL_RELATED_LANG,1142
42,1334,TOOL_RELATED_LANG,1146
43,1334,TOOL_RELATED_LANG,1150
44,1334,TOOL_RELATED_LANG,1152
45,1334,TOOL_RELATED_LANG,1154
46,149,COURSE_LANG_ADVANCE,1136
47,348,COURSE_LANG_BASIC,1128
48,1013,CAREER_LANG_ADVANCE,1156
49,988,CAREER_LANG_ADVANCE,1147
50,1018,CAREER_LANG_ADVANCE,1157
51,1014,CAREER_LANG_ADVANCE,1146
52,1012,CAREER_LANG_ADVANCE,1155
53,1002,CAREER_LANG_BASIC,1143
54,1059,FRAME_RELATED_LANG,1132
55,1573,TECH_RELATED_LANG,1128
56,1573,TECH_RELATED_LANG,1160
57,1272,TOOL_RELATED_LANG,1138
58,1272,TOOL_RELATED_LANG,1139
59,402,COURSE_LANG_BASIC,1149
60,1009,CAREER_LANG_ADVANCE,1135
61,1009,CAREER_LANG_ADVANCE,1142
62,993,CAREER_LANG_ADVANCE,1138
63,1105,FRAME_RELATED_LANG,1151
64,148,COURSE_LANG_ADVANCE,1135
65,1015,CAREER_LANG_BASIC,1128
66,1015,CAREER_LANG_BASIC,1139
67,1480,TECH_RELATED_LANG,1163
68,1480,TECH_RELATED_LANG,1164
69,988,CAREER_LANG_BASIC,1129
70,988,CAREER_LANG_BASIC,1134
71,1639,TECH_RELATED_LANG,1165
72,724,COURSE_LANG_ADVANCE,1137
73,1103,FRAME_RELATED_LANG,1134
74,1456,TECH_RELATED_LANG,1541
75,8,COURSE_LANG_BASIC,1142
76,1585,TECH_RELATED_LANG,1162
77,1541,TECH_RELATED_TOOL,1215
78,1541,TECH_RELATED_TOOL,1401
79,1541,TECH_RELATED_TOOL,1402
80,1631,TECH_RELATED_TOOL,1205
81,1631,TECH_RELATED_TOOL,1276
82,1631,TECH_RELATED_TOOL,1397
83,243,COURSE_TOOL_BASIC,1172
84,243,COURSE_TOOL_BASIC,1271
85,1023,CAREER_TOOL_BASIC,1173
86,1023,CAREER_TOOL_BASIC,1189
87,1023,CAREER_TOOL_BASIC,1365
88,996,CAREER_TOOL_ADVANCE,1317
89,996,CAREER_TOOL_ADVANCE,1319
90,993,CAREER_TOOL_ADVANCE,1273
91,988,CAREER_TOOL_ADVANCE,1172
92,1002,CAREER_TOOL_ADVANCE,1212
93,1002,CAREER_TOOL_ADVANCE,1326
94,1002,CAREER_TOOL_ADVANCE,1327
95,625,COURSE_TOOL_ADVANCE,1173
96,1014,CAREER_TOOL_BASIC,1354
97,1017,CAREER_TOOL_BASIC,1265
98,1017,CAREER_TOOL_BASIC,1361
99,1017,CAREER_TOOL_BASIC,1362
100,1017,CAREER_TOOL_BASIC,1363
101,1002,CAREER_TOOL_BASIC,1352
102,999,CAREER_TOOL_BASIC,1323
103,999,CAREER_TOOL_BASIC,1348
104,999,CAREER_TOOL_BASIC,1349
105,999,CAREER_TOOL_BASIC,1350
106,999,CAREER_TOOL_BASIC,1351
107,1019,CAREER_TOOL_BASIC,1314
108,1019,CAREER_TOOL_BASIC,1332
109,997,CAREER_TOOL_ADVANCE,1320
110,997,CAREER_TOOL_ADVANCE,1321
111,1007,CAREER_TOOL_ADVANCE,1331
112,1007,CAREER_TOOL_ADVANCE,1541
113,1000,CAREER_TOOL_ADVANCE,1267
114,108,COURSE_TOOL_ADVANCE,1208
115,753,COURSE_TOOL_BASIC,1170
116,286,COURSE_TOOL_BASIC,1276
117,624,COURSE_TOOL_ADVANCE,1172
118,989,CAREER_TOOL_BASIC,1171
119,989,CAREER_TOOL_BASIC,1196
120,989,CAREER_TOOL_BASIC,1347
121,995,CAREER_TOOL_ADVANCE,1297
122,1555,TECH_RELATED_TOOL,1175
123,1555,TECH_RELATED_TOOL,1372
124,645,COURSE_TOOL_ADVANCE,1176
125,1637,TECH_RELATED_TOOL,1176
126,1630,TECH_RELATED_TOOL,1201
127,416,COURSE_TOOL_BASIC,1287
128,382,COURSE_TOOL_BASIC,1284
129,828,COURSE_TOOL_BASIC,1260
130,1009,CAREER_TOOL_ADVANCE,1231
131,1009,CAREER_TOOL_ADVANCE,1232
132,464,COURSE_TOOL_ADVANCE,1244
133,1020,CAREER_TOOL_BASIC,1181
134,1020,CAREER_TOOL_BASIC,1232
135,1020,CAREER_TOOL_BASIC,1364
136,1020,CAREER_TOOL_ADVANCE,1181
137,501,COURSE_TOOL_BASIC,1297
138,501,COURSE_TOOL_BASIC,1298
139,437,COURSE_TOOL_BASIC,1289
140,13,COURSE_TOOL_ADVANCE,1195
141,1015,CAREER_TOOL_BASIC,1289
142,1015,CAREER_TOOL_BASIC,1316
143,1015,CAREER_TOOL_BASIC,1317
144,1015,CAREER_TOOL_BASIC,1333
145,1015,CAREER_TOOL_BASIC,1355
146,1015,CAREER_TOOL_BASIC,1356
147,1015,CAREER_TOOL_BASIC,1357
148,1015,CAREER_TOOL_BASIC,1358
149,1015,CAREER_TOOL_BASIC,1359
150,1015,CAREER_TOOL_BASIC,1360
151,1016,CAREER_TOOL_ADVANCE,1242
152,1016,CAREER_TOOL_ADVANCE,1334
153,1016,CAREER_TOOL_ADVANCE,1336
154,991,CAREER_TOOL_ADVANCE,1301
155,991,CAREER_TOOL_ADVANCE,1302
156,991,CAREER_TOOL_ADVANCE,1303
157,991,CAREER_TOOL_ADVANCE,1304
158,991,CAREER_TOOL_ADVANCE,1305
159,991,CAREER_TOOL_ADVANCE,1306
160,991,CAREER_TOOL_ADVANCE,1307
161,991,CAREER_TOOL_ADVANCE,1308
162,991,CAREER_TOOL_ADVANCE,1309
163,991,CAREER_TOOL_ADVANCE,1310
164,991,CAREER_TOOL_ADVANCE,1311
165,991,CAREER_TOOL_ADVANCE,1312
166,1450,TECH_RELATED_TOOL,1426
167,1635,TECH_RELATED_TOOL,1399
168,1483,TECH_RELATED_TOOL,1188
169,602,COURSE_TOOL_ADVANCE,1247
170,1022,CAREER_TOOL_ADVANCE,1345
171,1022,CAREER_TOOL_ADVANCE,1346
172,1021,CAREER_TOOL_ADVANCE,1344
173,1463,TECH_RELATED_TOOL,1187
174,1463,TECH_RELATED_TOOL,1424
175,1463,TECH_RELATED_TOOL,1425
176,1008,CAREER_TOOL_ADVANCE,1332
177,742,COURSE_TOOL_BASIC,1256
178,1018,CAREER_TOOL_ADVANCE,1226
179,1018,CAREER_TOOL_ADVANCE,1235
