"id(h)","type(r)","id(t)"
"1676","FRAME_RELATED","1024"
"1023","FRAME_BASIC","1024"
"816","FRAME_BASIC","1024"
"823","FRAME_BASIC","1024"
"824","FRAME_BASIC","1024"
"822","FRAME_BASIC","1024"
"828","FRAME_BASIC","1024"
"830","FRAME_BASIC","1024"
"817","FRAME_BASIC","1024"
"818","FRAME_BASIC","1024"
"1013","FRAME_ADVANCE","1024"
"232","FRAME_ADVANCE","1024"
"829","FRAME_ADVANCE","1024"
"826","FRAME_ADVANCE","1024"
"819","FRAME_ADVANCE","1024"
"824","FRAME_ADVANCE","1024"
"820","FRAME_ADVANCE","1024"
"827","FRAME_ADVANCE","1024"
"989","FRAME_ADVANCE","1024"
"821","FRAME_ADVANCE","1024"
"611","FRAME_ADVANCE","1024"
"825","FRAME_ADVANCE","1024"
"769","FRAME_BASIC","1025"
"762","FRAME_BASIC","1025"
"227","FRAME_BASIC","1025"
"775","FRAME_BASIC","1025"
"764","FRAME_BASIC","1025"
"235","FRAME_BASIC","1025"
"813","FRAME_BASIC","1025"
"799","FRAME_BASIC","1025"
"442","FRAME_BASIC","1025"
"828","FRAME_BASIC","1025"
"793","FRAME_BASIC","1025"
"796","FRAME_BASIC","1025"
"1022","FRAME_BASIC","1025"
"805","FRAME_BASIC","1025"
"152","FRAME_BASIC","1025"
"405","FRAME_BASIC","1025"
"614","FRAME_ADVANCE","1025"
"767","FRAME_ADVANCE","1025"
"232","FRAME_ADVANCE","1025"
"15","FRAME_ADVANCE","1025"
"771","FRAME_ADVANCE","1025"
"623","FRAME_ADVANCE","1025"
"613","FRAME_ADVANCE","1025"
"774","FRAME_ADVANCE","1025"
"628","FRAME_ADVANCE","1025"
"660","FRAME_ADVANCE","1025"
"240","FRAME_ADVANCE","1025"
"765","FRAME_ADVANCE","1025"
"773","FRAME_ADVANCE","1025"
"768","FRAME_ADVANCE","1025"
"234","FRAME_ADVANCE","1025"
"763","FRAME_ADVANCE","1025"
"766","FRAME_ADVANCE","1025"
"609","FRAME_ADVANCE","1025"
"13","FRAME_ADVANCE","1025"
"617","FRAME_ADVANCE","1025"
"764","FRAME_ADVANCE","1025"
"608","FRAME_ADVANCE","1025"
"778","FRAME_ADVANCE","1025"
"770","FRAME_ADVANCE","1025"
"761","FRAME_ADVANCE","1025"
"772","FRAME_ADVANCE","1025"
"157","FRAME_ADVANCE","1025"
"762","FRAME_ADVANCE","1025"
"612","FRAME_ADVANCE","1025"
"621","FRAME_ADVANCE","1025"
"678","FRAME_ADVANCE","1025"
"635","FRAME_BASIC","1026"
"629","FRAME_BASIC","1026"
"639","FRAME_ADVANCE","1026"
"132","FRAME_ADVANCE","1026"
"637","FRAME_ADVANCE","1026"
"638","FRAME_ADVANCE","1026"
"636","FRAME_ADVANCE","1026"
"121","FRAME_BASIC","1027"
"991","FRAME_ADVANCE","1027"
"993","FRAME_ADVANCE","1027"
"121","FRAME_ADVANCE","1027"
"631","FRAME_ADVANCE","1027"
"116","FRAME_ADVANCE","1027"
"636","FRAME_ADVANCE","1028"
"634","FRAME_ADVANCE","1028"
"1652","FRAME_RELATED","1029"
"640","FRAME_BASIC","1029"
"506","FRAME_BASIC","1029"
"504","FRAME_BASIC","1029"
"503","FRAME_BASIC","1029"
"515","FRAME_ADVANCE","1029"
"517","FRAME_ADVANCE","1029"
"520","FRAME_ADVANCE","1029"
"643","FRAME_ADVANCE","1029"
"647","FRAME_ADVANCE","1029"
"652","FRAME_ADVANCE","1029"
"506","FRAME_ADVANCE","1029"
"648","FRAME_ADVANCE","1029"
"512","FRAME_ADVANCE","1029"
"513","FRAME_ADVANCE","1029"
"645","FRAME_ADVANCE","1029"
"991","FRAME_ADVANCE","1029"
"993","FRAME_ADVANCE","1029"
"133","FRAME_ADVANCE","1029"
"649","FRAME_ADVANCE","1029"
"640","FRAME_ADVANCE","1029"
"630","FRAME_ADVANCE","1029"
"519","FRAME_ADVANCE","1029"
"504","FRAME_ADVANCE","1029"
"509","FRAME_ADVANCE","1029"
"644","FRAME_ADVANCE","1029"
"117","FRAME_ADVANCE","1029"
"646","FRAME_ADVANCE","1029"
"651","FRAME_ADVANCE","1029"
"641","FRAME_ADVANCE","1029"
"650","FRAME_ADVANCE","1029"
"1651","FRAME_RELATED","1030"
"1664","FRAME_RELATED","1030"
"1665","FRAME_RELATED","1030"
"635","FRAME_BASIC","1030"
"629","FRAME_BASIC","1030"
"121","FRAME_BASIC","1030"
"28","FRAME_ADVANCE","1030"
"993","FRAME_ADVANCE","1030"
"27","FRAME_ADVANCE","1030"
"642","FRAME_ADVANCE","1030"
"1651","FRAME_RELATED","1031"
"26","FRAME_BASIC","1031"
"71","FRAME_BASIC","1031"
"794","FRAME_BASIC","1031"
"121","FRAME_BASIC","1031"
"29","FRAME_ADVANCE","1031"
"121","FRAME_ADVANCE","1031"
"28","FRAME_ADVANCE","1031"
"642","FRAME_ADVANCE","1031"
"1673","FRAME_RELATED","1032"
"708","FRAME_BASIC","1032"
"614","FRAME_BASIC","1032"
"703","FRAME_BASIC","1032"
"615","FRAME_BASIC","1032"
"144","FRAME_BASIC","1032"
"701","FRAME_BASIC","1032"
"616","FRAME_BASIC","1032"
"835","FRAME_BASIC","1032"
"661","FRAME_ADVANCE","1032"
"702","FRAME_ADVANCE","1032"
"704","FRAME_ADVANCE","1032"
"659","FRAME_ADVANCE","1032"
"988","FRAME_ADVANCE","1032"
"706","FRAME_ADVANCE","1032"
"705","FRAME_ADVANCE","1032"
"592","FRAME_ADVANCE","1032"
"707","FRAME_ADVANCE","1032"
"1014","FRAME_ADVANCE","1032"
"697","FRAME_ADVANCE","1032"
"1000","FRAME_ADVANCE","1032"
"699","FRAME_ADVANCE","1032"
"698","FRAME_ADVANCE","1032"
"1816","FRAME_RELATED","1033"
"135","FRAME_BASIC","1033"
"804","FRAME_BASIC","1033"
"131","FRAME_BASIC","1033"
"845","FRAME_BASIC","1033"
"1019","FRAME_ADVANCE","1033"
