,0,1,2
0,1881,TECH_RELATED_FRAME,1024
1,121,FRAME_BASIC,1027
2,993,FRAME_ADVANCE,1071
3,1870,TECH_RELATED_FRAME,1047
4,1870,TECH_RELATED_FRAME,1064
5,1869,TECH_RELATED_FRAME,1107
6,1856,TECH_RELATED_FRAME,1031
7,1878,TECH_RELATED_FRAME,1032
8,1878,TECH_RELATED_FRAME,1043
9,615,FRAME_BASIC,1061
10,144,FRAME_BASIC,1072
11,1014,FRAME_ADVANCE,1073
12,1874,TECH_RELATED_FRAME,1034
13,1874,TECH_RELATED_FRAME,1037
14,1861,TECH_RELATED_FRAME,1039
15,1861,TECH_RELATED_FRAME,1114
16,738,FRAME_BASIC,1066
17,94,FRAME_BASIC,1049
18,2048,TECH_RELATED_FRAME,1054
19,1020,FRAME_ADVANCE,1078
20,1930,TECH_RELATED_FRAME,1118
21,2047,TECH_RELATED_FRAME,1076
22,404,FRAME_BASIC,1075
23,404,FRAME_BASIC,1076
24,1853,TECH_RELATED_FRAME,1108
25,1853,TECH_RELATED_FRAME,1109
26,1871,TECH_RELATED_FRAME,1110
27,1871,TECH_RELATED_FRAME,1111
28,2031,TECH_RELATED_FRAME,1115
29,2031,TECH_RELATED_FRAME,1116
30,988,LANG_ADVANCE,1147
31,1012,LANG_ADVANCE,1155
32,1014,LANG_ADVANCE,1146
33,1018,LANG_ADVANCE,1157
34,1013,LANG_ADVANCE,1156
35,149,LANG_ADVANCE,1136
36,1002,LANG_BASIC,1143
37,1539,TOOL_RELATED_LANG,1142
38,1539,TOOL_RELATED_LANG,1146
39,1539,TOOL_RELATED_LANG,1150
40,1539,TOOL_RELATED_LANG,1152
41,1539,TOOL_RELATED_LANG,1154
42,402,LANG_BASIC,1149
43,1059,FRAME_RELATED_LANG,1132
44,1983,TECH_RELATED_LANG,1128
45,1983,TECH_RELATED_LANG,1160
46,1477,TOOL_RELATED_LANG,1138
47,1477,TOOL_RELATED_LANG,1139
48,1105,FRAME_RELATED_LANG,1151
49,1890,TECH_RELATED_LANG,1163
50,1890,TECH_RELATED_LANG,1164
51,724,LANG_ADVANCE,1137
52,2049,TECH_RELATED_LANG,1165
53,8,LANG_BASIC,1142
54,1103,FRAME_RELATED_LANG,1134
55,1866,TECH_RELATED_LANG,1951
56,1995,TECH_RELATED_LANG,1162
