"id(h)","type(r)","id(t)"
"1043","FRAME_RELATED","596"
"561","FRAME","596"
"585","FRAME","596"
"595","FRAME","596"
"391","FRAME","596"
"401","FRAME","596"
"398","FRAME","596"
"1452","FRAME","596"
"183","FRAME","596"
"399","FRAME","596"
"392","FRAME","596"
"397","FRAME","596"
"393","FRAME","596"
"395","FRAME","596"
"390","FRAME","596"
"389","FRAME","596"
"394","FRAME","596"
"402","FRAME","596"
"388","FRAME","596"
"400","FRAME","596"
"396","FRAME","596"
"341","FRAME","597"
"368","FRAME","597"
"342","FRAME","597"
"347","FRAME","597"
"594","FRAME","597"
"1625","FRAME","597"
"1372","FRAME","597"
"232","FRAME","597"
"400","FRAME","597"
"1233","FRAME","597"
"335","FRAME","597"
"1455","FRAME","597"
"340","FRAME","597"
"1447","FRAME","597"
"193","FRAME","597"
"346","FRAME","597"
"1460","FRAME","597"
"371","FRAME","597"
"186","FRAME","597"
"185","FRAME","597"
"377","FRAME","597"
"385","FRAME","597"
"1235","FRAME","597"
"350","FRAME","597"
"344","FRAME","597"
"1452","FRAME","597"
"14","FRAME","597"
"250","FRAME","597"
"1454","FRAME","597"
"365","FRAME","597"
"180","FRAME","597"
"336","FRAME","597"
"345","FRAME","597"
"339","FRAME","597"
"189","FRAME","597"
"338","FRAME","597"
"184","FRAME","597"
"181","FRAME","597"
"333","FRAME","597"
"337","FRAME","597"
"334","FRAME","597"
"200","FRAME","597"
"195","FRAME","597"
"343","FRAME","597"
"1377","FRAME","597"
"209","FRAME","598"
"210","FRAME","598"
"1352","FRAME","598"
"207","FRAME","598"
"211","FRAME","598"
"201","FRAME","598"
"208","FRAME","598"
"563","FRAME","599"
"1341","FRAME","599"
"203","FRAME","599"
"1336","FRAME","599"
"565","FRAME","599"
"208","FRAME","600"
"206","FRAME","600"
"1019","FRAME_RELATED","601"
"84","FRAME","601"
"223","FRAME","601"
"85","FRAME","601"
"224","FRAME","601"
"213","FRAME","601"
"1337","FRAME","601"
"89","FRAME","601"
"78","FRAME","601"
"202","FRAME","601"
"563","FRAME","601"
"218","FRAME","601"
"222","FRAME","601"
"92","FRAME","601"
"1353","FRAME","601"
"75","FRAME","601"
"91","FRAME","601"
"219","FRAME","601"
"212","FRAME","601"
"215","FRAME","601"
"221","FRAME","601"
"216","FRAME","601"
"565","FRAME","601"
"81","FRAME","601"
"220","FRAME","601"
"87","FRAME","601"
"217","FRAME","601"
"76","FRAME","601"
"1031","FRAME_RELATED","602"
"1018","FRAME_RELATED","602"
"1032","FRAME_RELATED","602"
"214","FRAME","602"
"201","FRAME","602"
"565","FRAME","602"
"1248","FRAME","602"
"1341","FRAME","602"
"1247","FRAME","602"
"207","FRAME","602"
"1018","FRAME_RELATED","603"
"366","FRAME","603"
"214","FRAME","603"
"1246","FRAME","603"
"1248","FRAME","603"
"1249","FRAME","603"
"1291","FRAME","603"
"1341","FRAME","603"
"1040","FRAME_RELATED","604"
"572","FRAME","604"
"278","FRAME","604"
"270","FRAME","604"
"407","FRAME","604"
"279","FRAME","604"
"277","FRAME","604"
"233","FRAME","604"
"586","FRAME","604"
"275","FRAME","604"
"276","FRAME","604"
"560","FRAME","604"
"280","FRAME","604"
"186","FRAME","604"
"187","FRAME","604"
"1364","FRAME","604"
"231","FRAME","604"
"164","FRAME","604"
"271","FRAME","604"
"274","FRAME","604"
"269","FRAME","604"
"188","FRAME","604"
"273","FRAME","604"
"1183","FRAME_RELATED","605"
"1355","FRAME","605"
"1450","FRAME","605"
"241","FRAME","605"
"591","FRAME","605"
"376","FRAME","605"
"240","FRAME","605"
"1453","FRAME","605"
"1351","FRAME","605"
"417","FRAME","605"
"1036","FRAME_RELATED","606"
"590","FRAME","606"
"251","FRAME","606"
"252","FRAME","606"
"181","FRAME","606"
"593","FRAME","606"
"243","FRAME","606"
"340","FRAME","606"
"248","FRAME","606"
"350","FRAME","606"
"337","FRAME","606"
"338","FRAME","606"
"293","FRAME","606"
"247","FRAME","606"
"250","FRAME","606"
"254","FRAME","606"
"193","FRAME","606"
"245","FRAME","606"
"244","FRAME","606"
"339","FRAME","606"
"246","FRAME","606"
"586","FRAME","606"
"418","FRAME","606"
"249","FRAME","606"
"179","FRAME","606"
"341","FRAME","606"
"374","FRAME","606"
"260","FRAME","607"
"264","FRAME","607"
"259","FRAME","607"
"261","FRAME","607"
"265","FRAME","607"
"191","FRAME","607"
"258","FRAME","607"
"178","FRAME","607"
"267","FRAME","607"
"275","FRAME","608"
"1036","FRAME_RELATED","609"
"415","FRAME","609"
"287","FRAME","609"
"418","FRAME","609"
"416","FRAME","609"
"419","FRAME","609"
"417","FRAME","609"
"302","FRAME","610"
"299","FRAME","610"
"301","FRAME","610"
"1023","FRAME_RELATED","611"
"311","FRAME","611"
"312","FRAME","611"
"306","FRAME","611"
"315","FRAME","611"
"307","FRAME","611"
"306","FRAME","612"
"316","FRAME","612"
"311","FRAME","612"
"1463","FRAME","612"
"313","FRAME","612"
"310","FRAME","612"
"315","FRAME","612"
"326","FRAME","613"
"325","FRAME","613"
"331","FRAME","613"
"327","FRAME","613"
"319","FRAME","613"
"584","FRAME","613"
"329","FRAME","613"
"324","FRAME","613"
"320","FRAME","613"
"332","FRAME","613"
"577","FRAME","613"
"328","FRAME","613"
"322","FRAME","613"
"589","FRAME","613"
"330","FRAME","613"
"321","FRAME","613"
"323","FRAME","613"
"362","FRAME","614"
"378","FRAME","614"
"1040","FRAME_RELATED","615"
"410","FRAME","615"
"403","FRAME","615"
"402","FRAME","615"
"392","FRAME","615"
"408","FRAME","615"
"409","FRAME","615"
"404","FRAME","615"
"407","FRAME","615"
"411","FRAME","615"
"1364","FRAME","615"
"406","FRAME","615"
"400","FRAME","615"
"393","FRAME","615"
"381","FRAME","615"
"405","FRAME","615"
"396","FRAME","615"
"425","FRAME","616"
"427","FRAME","616"
"420","FRAME","616"
"423","FRAME","616"
"421","FRAME","616"
"430","FRAME","616"
"422","FRAME","616"
"424","FRAME","616"
"428","FRAME","616"
"429","FRAME","616"
"266","FRAME","616"
"426","FRAME","616"
"433","FRAME","617"
"180","FRAME","618"
"1364","FRAME","618"
"595","FRAME","618"
"190","FRAME","618"
"1372","FRAME","618"
"585","FRAME","618"
"264","FRAME","618"
"262","FRAME","618"
"1233","FRAME","618"
"187","FRAME","618"
"283","FRAME","618"
"1032","FRAME_RELATED","619"
"1247","FRAME","619"
"1248","FRAME","619"
"1111","FRAME_RELATED","620"
"1248","FRAME","620"
"565","FRAME","620"
"565","FRAME","621"
"1249","FRAME","621"
"1314","FRAME","621"
"1350","FRAME","622"
"1317","FRAME","622"
"1351","FRAME","623"
"1262","FRAME","623"
"1254","FRAME","623"
"1377","FRAME","624"
"572","FRAME","624"
"595","FRAME","625"
"164","FRAME","625"
"584","FRAME","625"
"561","FRAME","625"
"1412","FRAME","625"
"1413","FRAME","625"
"585","FRAME","625"
"14","FRAME","625"
"589","FRAME","625"
"560","FRAME","625"
"278","FRAME","625"
"1403","FRAME","625"
"1415","FRAME","625"
"1210","FRAME_RELATED","626"
"1439","FRAME","626"
"1434","FRAME","626"
"580","FRAME","626"
"1433","FRAME","626"
"585","FRAME","626"
"1438","FRAME","626"
"595","FRAME","626"
"1441","FRAME","626"
"561","FRAME","626"
"586","FRAME","626"
"589","FRAME","626"
"590","FRAME","626"
"166","FRAME","626"
"560","FRAME","626"
"584","FRAME","626"
"296","FRAME","627"
"1513","FRAME","628"
"1519","FRAME","628"
"1525","FRAME","629"
"1523","FRAME","629"
"1528","FRAME","629"
"1522","FRAME","629"
"1527","FRAME","629"
"1574","FRAME","630"
"1575","FRAME","630"
"30","FRAME","631"
"592","FRAME","631"
"1092","FRAME_RELATED","632"
"1209","FRAME_RELATED","632"
"143","FRAME","632"
"589","FRAME","632"
"178","FRAME","632"
"577","FRAME","632"
"146","FRAME","632"
"187","FRAME","633"
"198","FRAME","634"
"377","FRAME","634"
"229","FRAME","635"
"1032","FRAME_RELATED","636"
"268","FRAME","636"
"577","FRAME","637"
"272","FRAME","637"
"572","FRAME","637"
"381","FRAME","637"
"310","FRAME","638"
"314","FRAME","639"
"359","FRAME","640"
"413","FRAME","641"
"275","FRAME","642"
"415","FRAME","642"
"1314","FRAME","643"
"565","FRAME","643"
"1251","FRAME","643"
"1364","FRAME","644"
"1202","FRAME_RELATED","645"
"1211","FRAME_RELATED","645"
"1427","FRAME","645"
"586","FRAME","645"
"1530","FRAME","646"
"1624","FRAME","647"
"1209","FRAME_RELATED","648"
"1624","FRAME","648"
"589","FRAME","649"
"580","FRAME","649"
"586","FRAME","649"
"591","FRAME","649"
"572","FRAME","649"
"595","FRAME","649"
"577","FRAME","649"
"592","FRAME","650"
"1031","FRAME_RELATED","679"
"1015","FRAME_RELATED","680"
"1015","FRAME_RELATED","681"
"1033","FRAME_RELATED","682"
"1033","FRAME_RELATED","683"
"1071","FRAME_RELATED","684"
"1043","FRAME_RELATED","684"
"1075","FRAME_RELATED","685"
"1023","FRAME_RELATED","686"
"1193","FRAME_RELATED","687"
"1193","FRAME_RELATED","688"
"1024","FRAME_RELATED","689"
"1092","FRAME_RELATED","690"
"1048","FRAME_RELATED","691"
"1074","FRAME_RELATED","692"
